p,times1,team_times1,won1,team_won1,last,max_times12,mean
163340,900,40,269,8,2008-04-21 18:37:55,14,29.3471853892
163444,900,254,402,165,2009-01-30 05:00:36,38,31.1938184453
163544,900,2,257,1,2008-08-14 16:27:14,1,31.0116587413
163676,900,59,317,20,2008-05-17 21:23:16,4,29.6478121194
163690,900,647,453,398,2008-10-14 07:40:37,38,30.5471513061
163799,900,18,263,7,2008-04-08 02:59:22,13,28.9568203501
163889,900,2,385,0,2009-05-22 23:00:33,1,27.6567668491
163937,900,12,136,1,2008-10-17 00:00:21,1,29.7544645884
164019,900,5,191,3,2008-08-31 07:38:35,1,29.9244825581
164038,900,5,191,0,2009-02-18 01:30:59,4,31.7867875101
164119,900,85,282,41,2008-05-28 13:11:38,20,30.9263956913
164390,900,16,448,2,2008-05-29 19:04:09,2,31.1284248019
164512,900,377,515,277,2008-08-14 03:12:54,33,31.4498335957
164565,900,16,470,10,2008-05-18 02:58:03,6,30.2702798807
164682,900,4,415,2,2008-02-27 23:57:20,1,29.0641139597
164724,900,254,446,143,2008-10-28 23:21:10,118,30.8342210714
164780,900,246,321,98,2008-06-17 22:54:42,113,28.7949154842
164913,900,158,266,74,2008-07-23 09:06:38,23,29.9469132555
165029,900,43,213,8,2008-12-16 15:23:08,3,26.1100741696
165335,900,59,221,15,2008-09-28 02:21:00,7,28.8265746944
165340,900,70,373,23,2008-06-12 03:54:12,29,30.648405895
165869,900,3,405,1,2008-03-11 00:15:16,1,28.9835734646
165915,900,93,412,34,2008-08-19 23:43:52,18,29.6186000961
166054,900,67,357,23,2008-12-09 14:23:19,35,30.2617289169
166307,900,1,220,1,2008-08-24 22:17:37,1,29.7238941009
166320,900,260,319,128,2009-03-12 01:59:17,131,31.8102602153
166346,900,565,156,115,2008-04-23 17:34:26,9,30.4483101682
166351,900,45,261,25,2008-02-24 02:51:48,25,29.84367134
166388,900,133,304,69,2009-01-02 14:55:21,47,29.1673116618
